Name;Location;Open Year-Round;Handicap Accessible;Borough;Comments;Latitude;Longitude;SUFFIX;POP100;GEOID;CENTLAT;BLOCK;AREAWATER;STATE;BASENAME;OID;LSADC;INTPTLAT;FUNCSTAT;NAME;OBJECTID;TRACT;CENTLON;BLKGRP;AREALAND;HU100;INTPTLON;MTFCC;LWBLKTYP;UR;COUNTY;SUFFIX;POP100;GEOID;CENTLAT;BLOCK;AREAWATER;STATE;BASENAME;OID;LSADC;INTPTLAT;FUNCSTAT;NAME;OBJECTID;TRACT;CENTLON;BLKGRP;AREALAND;HU100;INTPTLON;MTFCC;LWBLKTYP;UR;COUNTY;GEOID;STATE;COUNTY;TRACT;BLOCK;
Athens Sq (PS 17);29 Street, 30 Street, 30 Avenue, Newtown Avenue;Yes;Yes;Queens;;407.672.696;-739.221.848;;90;360810071004004;407.675.708;4004;0;36;4004;2,10701E+14;BK;407.675.708;S;Block 4004;3504087;7100;-739.214.604;4;10453;38;-739.214.604;G5040;L;U;81;;90;3,6081E+14;407.675.708;4004;0;36;4004;2,10701E+14;BK;407.675.708;S;Block 4004;3504087;7100;-739.214.604;4;10453;38;-739.214.604;G5040;L;U;81;3,6081E+14;36;81;7100;4004;
Aubondale Playground;170-171 streets, 33-35 avenues;Yes;;Queens;;407.481.685;-737.968.507;;94;360811207012011;407.483.531;2011;0;36;2011;2,10701E+14;BK;407.483.531;S;Block 2011;2637728;120701;-737.966.659;2;8818;24;-737.966.659;G5040;L;U;81;;94;3,60811E+14;407.483.531;2011;0;36;2011;2,10701E+14;BK;407.483.531;S;Block 2011;2637728;120701;-737.966.659;2;8818;24;-737.966.659;G5040;L;U;81;3,60811E+14;36;81;120701;2011;
Audubon Playground;West 170 Street & Audubon Avenue;Yes;;Manhattan;;408.416.671;-7.393.750.949.999.990;;189;360610253004004;408.416.773;4004;0;36;4004;2,10701E+14;BK;408.416.773;S;Block 4004;3657896;25300;-739.384.104;4;10141;120;-739.384.104;G5040;L;U;61;;189;3,6061E+14;408.416.773;4004;0;36;4004;2,10701E+14;BK;408.416.773;S;Block 4004;3657896;25300;-739.384.104;4;10141;120;-739.384.104;G5040;L;U;61;3,6061E+14;36;61;25300;4004;
Augustus St. Gaudens;East 19 to East 20 streets, 2 Avenue;Yes;;Manhattan;;407.360.228;-739.822.738;;897;360610064003000;407.361.967;3000;0;36;3000;2,10701E+14;BK;407.361.967;S;Block 3000;3353862;6400;-739.836.003;3;16129;667;-739.836.003;G5040;L;U;61;;897;3,6061E+14;407.361.967;3000;0;36;3000;2,10701E+14;BK;407.361.967;S;Block 3000;3353862;6400;-739.836.003;3;16129;667;-739.836.003;G5040;L;U;61;3,6061E+14;36;61;6400;3000;
Bailey Playground;Bailey Avenue, Weast 233-West 238 streets;Yes;;Bronx;;408.850.328;-73.899.998;;98;360050283002004;408.853.496;2004;0;36;2004;2,10701E+14;BK;408.853.496;S;Block 2004;1766920;28300;-738.999.720;2;7975;33;-738.999.720;G5040;L;U;5;;98;3,6005E+14;408.853.496;2004;0;36;2004;2,10701E+14;BK;408.853.496;S;Block 2004;1766920;28300;-738.999.720;2;7975;33;-738.999.720;G5040;L;U;5;3,6005E+14;36;5;28300;2004;
Baisley Pond Park;Rockaway Boulevard, 125th Avenue, & Baisley Boulevard South;Yes;;Queens;;406.758.621;-737.830.468;;8;360810288031001;406.776.586;1001;106288;36;1001;2,10701E+14;BK;406.738.111;S;Block 1001;2551593;28803;-737.856.771;1;245260;1;-737.867.709;G5040;B;U;81;;8;3,6081E+14;406.776.586;1001;106288;36;1001;2,10701E+14;BK;406.738.111;S;Block 1001;2551593;28803;-737.856.771;1;245260;1;-737.867.709;G5040;B;U;81;3,6081E+14;36;81;28803;1001;
Baisley Pond Park;150th Street, Rockaway Boulevard, Baisley Boulevard South, & North Conduit Avenue;Yes;;Queens;;406.670.627;-7.378.701.459.999.990;;0;360810306001000;406.669.881;1000;0;36;1000;2,10701E+14;BK;406.669.881;S;Block 1000;1844717;30600;-737.854.289;1;30435;0;-737.854.289;G5040;L;U;81;;0;3,6081E+14;406.669.881;1000;0;36;1000;2,10701E+14;BK;406.669.881;S;Block 1000;1844717;30600;-737.854.289;1;30435;0;-737.854.289;G5040;L;U;81;3,6081E+14;36;81;30600;1000;
Baisley Pond Park (157th Street Playground);157 Street & 116 Avenue;Yes;;Queens;;406.851.275;-7.378.653.779.999.990;;180;360810276001008;406.858.756;1008;0;36;1008;2,10701E+14;BK;406.858.756;S;Block 1008;1389273;27600;-737.870.430;1;14903;63;-737.870.430;G5040;L;U;81;;180;3,6081E+14;406.858.756;1008;0;36;1008;2,10701E+14;BK;406.858.756;S;Block 1008;1389273;27600;-737.870.430;1;14903;63;-737.870.430;G5040;L;U;81;3,6081E+14;36;81;27600;1008;
Bartlett Playground;Bartlett Street & Throop Avenue;Yes;;Brooklyn;;407.016.615;-7.394.565.469.999.990;;43;360470507001008;407.013.421;1008;0;36;1008;2,10701E+14;BK;407.013.421;S;Block 1008;4147321;50700;-739.468.806;1;16807;16;-739.468.806;G5040;L;U;47;;43;3,60471E+14;407.013.421;1008;0;36;1008;2,10701E+14;BK;407.013.421;S;Block 1008;4147321;50700;-739.468.806;1;16807;16;-739.468.806;G5040;L;U;47;3,60471E+14;36;47;50700;1008;
Battery Park (Battery Gardens);Battery Place, State & Whitehall streets;Yes;;Manhattan;;407.052.168;-7.401.393.399.999.990;;0;360610013002008;407.054.195;2008;0;36;2008;2,10701E+14;BK;407.054.195;S;Block 2008;2840599;1300;-740.141.862;2;13328;0;-740.141.862;G5040;L;U;61;;0;3,6061E+14;407.054.195;2008;0;36;2008;2,10701E+14;BK;407.054.195;S;Block 2008;2840599;1300;-740.141.862;2;13328;0;-740.141.862;G5040;L;U;61;3,6061E+14;36;61;1300;2008;
Battery Park Comfort Station;Battery Place, State & Whitehall streets;Yes;;Manhattan;;407.052.168;-7.401.393.399.999.990;;0;360610013002008;407.054.195;2008;0;36;2008;2,10701E+14;BK;407.054.195;S;Block 2008;2840599;1300;-740.141.862;2;13328;0;-740.141.862;G5040;L;U;61;;0;3,6061E+14;407.054.195;2008;0;36;2008;2,10701E+14;BK;407.054.195;S;Block 2008;2840599;1300;-740.141.862;2;13328;0;-740.141.862;G5040;L;U;61;3,6061E+14;36;61;1300;2008;
Bay Terrace Playground (PS 169);23 Avenue & 212 Street;Yes;;Queens;;407.814.134;-737.781.826;;624;360810997042001;407.814.512;2001;0;36;2001;2,10701E+14;BK;407.814.512;S;Block 2001;3444392;99704;-737.801.579;2;65210;311;-737.801.579;G5040;L;U;81;;624;3,60811E+14;407.814.512;2001;0;36;2001;2,10701E+14;BK;407.814.512;S;Block 2001;3444392;99704;-737.801.579;2;65210;311;-737.801.579;G5040;L;U;81;3,60811E+14;36;81;99704;2001;
Bayside Fields;204 Street & 29 Avenue, Clearview Expressway;Yes;Yes;Queens;;407.728.915;-7.378.664.669.999.990;;196;360811085003006;407.718.005;3006;0;36;3006;2,10701E+14;BK;407.718.005;S;Block 3006;2011232;108500;-737.868.221;3;22746;71;-737.868.221;G5040;L;U;81;;196;3,60811E+14;407.718.005;3006;0;36;3006;2,10701E+14;BK;407.718.005;S;Block 3006;2011232;108500;-737.868.221;3;22746;71;-737.868.221;G5040;L;U;81;3,60811E+14;36;81;108500;3006;
Bayside Playground (JHS 180);Beach Channel Drive & Seaside Avenue;No;;Queens;;405.854.984;-738.246.971;;0;360810938003000;405.845.525;3000;0;36;3000;2,10701E+14;BK;405.856.175;S;Block 3000;2944264;93800;-738.300.158;3;95601;0;-738.281.798;G5040;L;U;81;;0;3,60811E+14;405.845.525;3000;0;36;3000;2,10701E+14;BK;405.856.175;S;Block 3000;2944264;93800;-738.300.158;3;95601;0;-738.281.798;G5040;L;U;81;3,60811E+14;36;81;93800;3000;
