Name;Location;Open Year-Round;Handicap Accessible;Borough;Comments;Latitude;Longitude;SUFFIX;POP100;GEOID;CENTLAT;BLOCK;AREAWATER;STATE;BASENAME;OID;LSADC;INTPTLAT;FUNCSTAT;NAME;OBJECTID;TRACT;CENTLON;BLKGRP;AREALAND;HU100;INTPTLON;MTFCC;LWBLKTYP;UR;COUNTY;SUFFIX;POP100;GEOID;CENTLAT;BLOCK;AREAWATER;STATE;BASENAME;OID;LSADC;INTPTLAT;FUNCSTAT;NAME;OBJECTID;TRACT;CENTLON;BLKGRP;AREALAND;HU100;INTPTLON;MTFCC;LWBLKTYP;UR;COUNTY;GEOID;STATE;COUNTY;TRACT;BLOCK;
Riverside Park (Tennis Courts);Riverside Drive & West 96th Street;Yes;;Manhattan;;408.095.625;-7.396.731.249.999.990;;10;360610205001002;408.105.240;1002;0;36;1002;2,10701E+14;BK;408.105.240;S;Block 1002;3664743;20500;-739.659.819;1;117672;0;-739.659.819;G5040;L;U;61;;10;3,6061E+14;408.105.240;1002;0;36;1002;2,10701E+14;BK;408.105.240;S;Block 1002;3664743;20500;-739.659.819;1;117672;0;-739.659.819;G5040;L;U;61;3,6061E+14;36;61;20500;1002;
Robert Moses Playground;1 Avenue, East 41 to East 42 streets;Yes;;Manhattan;;407.507.625;-739.744.598;;0;360610080001000;407.507.705;1000;0;36;1000;2,10701E+14;BK;407.507.705;S;Block 1000;4640666;8000;-739.754.918;1;13070;0;-739.754.918;G5040;L;U;61;;0;3,6061E+14;407.507.705;1000;0;36;1000;2,10701E+14;BK;407.507.705;S;Block 1000;4640666;8000;-739.754.918;1;13070;0;-739.754.918;G5040;L;U;61;3,6061E+14;36;61;8000;1000;
Rochdale Park;Guy Brewer Boulevard, 134 Avenue;Yes;;Queens;;406.733.704;-7.377.575.259.999.990;;183;360810294002000;406.739.057;2000;0;36;2000;2,10701E+14;BK;406.739.057;S;Block 2000;385511;29400;-737.772.143;2;38351;64;-737.772.143;G5040;L;U;81;;183;3,6081E+14;406.739.057;2000;0;36;2000;2,10701E+14;BK;406.739.057;S;Block 2000;385511;29400;-737.772.143;2;38351;64;-737.772.143;G5040;L;U;81;3,6081E+14;36;81;29400;2000;
Rockaway Beach;Between 87th Street and 100th Street;No;;Queens;;406.617.856;-738.337.742;;92;360810884008003;406.626.839;8003;0;36;8003;2,10701E+14;BK;406.626.839;S;Block 8003;1272310;88400;-738.335.231;8;14909;45;-738.335.231;G5040;L;U;81;;92;3,60811E+14;406.626.839;8003;0;36;8003;2,10701E+14;BK;406.626.839;S;Block 8003;1272310;88400;-738.335.231;8;14909;45;-738.335.231;G5040;L;U;81;3,60811E+14;36;81;88400;8003;
Rockaway Beach;Between 100th Street and 110th Street;No;;Queens;;407.375.722;-738.489.238;;771;360810745001002;407.368.340;1002;0;36;1002;2,10701E+14;BK;407.368.340;S;Block 1002;2011301;74500;-738.499.038;1;43771;431;-738.499.038;G5040;L;U;81;;771;3,60811E+14;407.368.340;1002;0;36;1002;2,10701E+14;BK;407.368.340;S;Block 1002;2011301;74500;-738.499.038;1;43771;431;-738.499.038;G5040;L;U;81;3,60811E+14;36;81;74500;1002;
Rockaway Beach & Boardwalk (Beach 59th Street Playground);Boardwalk & Beach 59-60 streets;Yes;;Queens;;407.187.771;-739.069.016;;136;360810525002004;407.185.060;2004;0;36;2004;2,10701E+14;BK;407.185.060;S;Block 2004;384869;52500;-739.073.495;2;13743;58;-739.073.495;G5040;L;U;81;;136;3,60811E+14;407.185.060;2004;0;36;2004;2,10701E+14;BK;407.185.060;S;Block 2004;384869;52500;-739.073.495;2;13743;58;-739.073.495;G5040;L;U;81;3,60811E+14;36;81;52500;2004;
Rockaway Beach (Beach 116Th);Between 110th and 121st streets;Yes;;Queens;This facility is currently closed;406.855.357;-738.217.923;;310;360810166001000;406.857.545;1000;0;36;1000;2,10701E+14;BK;406.857.545;S;Block 1000;3504621;16600;-738.223.896;1;18539;95;-738.223.896;G5040;L;U;81;;310;3,6081E+14;406.857.545;1000;0;36;1000;2,10701E+14;BK;406.857.545;S;Block 1000;3504621;16600;-738.223.896;1;18539;95;-738.223.896;G5040;L;U;81;3,6081E+14;36;81;16600;1000;
Rockaway Beach 106 Comfort Station;Beach 106 Street;;Yes;Queens;;405.828.611;-738.278.275;;0;360810938001001;405.825.426;1001;0;36;1001;2,10701E+14;BK;405.825.426;S;Block 1001;804764;93800;-738.289.337;1;15024;0;-738.289.337;G5040;L;U;81;;0;3,60811E+14;405.825.426;1001;0;36;1001;2,10701E+14;BK;405.825.426;S;Block 1001;804764;93800;-738.289.337;1;15024;0;-738.289.337;G5040;L;U;81;3,60811E+14;36;81;93800;1001;
Rockaway Beach 117th L/G;Beach 117 Street;;Yes;Queens;;405.795.009;-738.381.068;;875;360810934021001;405.775.260;1001;0;36;1001;2,10701E+14;BK;405.775.260;S;Block 1001;2944270;93402;-738.382.726;1;93435;460;-738.382.726;G5040;L;U;81;;875;3,60811E+14;405.775.260;1001;0;36;1001;2,10701E+14;BK;405.775.260;S;Block 1001;2944270;93402;-738.382.726;1;93435;460;-738.382.726;G5040;L;U;81;3,60811E+14;36;81;93402;1001;
Rockaway Beach 86 Comfort Station;Beach 86 Street;;Yes;Queens;;405.891.178;-738.114.728;;144;360810942021013;405.896.455;1013;0;36;1013;2,10701E+14;BK;405.896.455;S;Block 1013;2937755;94202;-738.119.645;1;13433;64;-738.119.645;G5040;L;U;81;;144;3,60811E+14;405.896.455;1013;0;36;1013;2,10701E+14;BK;405.896.455;S;Block 1013;2937755;94202;-738.119.645;1;13433;64;-738.119.645;G5040;L;U;81;3,60811E+14;36;81;94202;1013;
Rockaway Beach 97 Comfort Station;Beach 97 Street;;Yes;Queens;;40.584.947;-738.188.057;;135;360810942011009;405.839.886;1009;0;36;1009;2,10701E+14;BK;405.839.886;S;Block 1009;3498561;94201;-738.184.698;1;8839;44;-738.184.698;G5040;L;U;81;;135;3,60811E+14;405.839.886;1009;0;36;1009;2,10701E+14;BK;405.839.886;S;Block 1009;3498561;94201;-738.184.698;1;8839;44;-738.184.698;G5040;L;U;81;3,60811E+14;36;81;94201;1009;
Rodney Playground South;Rodney, South 3 & South 4 streets;Yes;;Brooklyn;;407.132.846;-7.396.736.419.999.990;;324;360470549002003;407.126.980;2003;0;36;2003;2,10701E+14;BK;407.126.980;S;Block 2003;8102296;54900;-739.667.500;2;12961;201;-739.667.500;G5040;L;U;47;;324;3,60471E+14;407.126.980;2003;0;36;2003;2,10701E+14;BK;407.126.980;S;Block 2003;8102296;54900;-739.667.500;2;12961;201;-739.667.500;G5040;L;U;47;3,60471E+14;36;47;54900;2003;
Roebling Playground;Wilson & Lee avenues, Taylor Street;Yes;;Brooklyn;;4.070.701.409.999.990;-739.613.866;;631;360470535004002;407.067.587;4002;0;36;4002;2,10701E+14;BK;407.067.587;S;Block 4002;8105075;53500;-739.625.455;4;16640;191;-739.625.455;G5040;L;U;47;;631;3,60471E+14;407.067.587;4002;0;36;4002;2,10701E+14;BK;407.067.587;S;Block 4002;8105075;53500;-739.625.455;4;16640;191;-739.625.455;G5040;L;U;47;3,60471E+14;36;47;53500;4002;
Roger Morris Park (Morris Jumel Mansion);Jumel Terrace to Edgecombe Avenue, West 160 to West 162 streets;Yes;;Manhattan;;408.338.537;-739.384.881;;0;360610243012002;408.345.035;2002;0;36;2002;2,10701E+14;BK;408.345.035;S;Block 2002;3707909;24301;-739.384.599;2;10256;0;-739.384.599;G5040;L;U;61;;0;3,6061E+14;408.345.035;2002;0;36;2002;2,10701E+14;BK;408.345.035;S;Block 2002;3707909;24301;-739.384.599;2;10256;0;-739.384.599;G5040;L;U;61;3,6061E+14;36;61;24301;2002;
Rolf Henry Playground;New York & Clarkson avenues;Yes;;Brooklyn;;406.561.019;-739.395.701;;888;360470808001001;406.566.822;1001;0;36;1001;2,10701E+14;BK;406.566.822;S;Block 1001;5613854;80800;-739.434.195;1;123302;516;-739.434.195;G5040;L;U;47;;888;3,60471E+14;406.566.822;1001;0;36;1001;2,10701E+14;BK;406.566.822;S;Block 1001;5613854;80800;-739.434.195;1;123302;516;-739.434.195;G5040;L;U;47;3,60471E+14;36;47;80800;1001;
Rose Hill Park;Webster Avenue, Harlem River, East Fordham Road;Yes;;Bronx;;408.647.526;-738.875.183;;0;360050397001000;408.647.833;1000;0;36;1000;2,10701E+14;BK;408.647.833;S;Block 1000;2135243;39700;-738.867.516;1;54903;0;-738.867.516;G5040;L;U;5;;0;3,6005E+14;408.647.833;1000;0;36;1000;2,10701E+14;BK;408.647.833;S;Block 1000;2135243;39700;-738.867.516;1;54903;0;-738.867.516;G5040;L;U;5;3,6005E+14;36;5;39700;1000;
Rosemary's Playground (JHS 93);Woodward Avenue, Woodbine Street, Fairview Avenue;Yes;;Queens;;40.705.483;-73.903.772;;3;360810589003003;407.047.282;3003;0;36;3003;2,10701E+14;BK;407.047.282;S;Block 3003;328761;58900;-739.039.479;3;11934;0;-739.039.479;G5040;L;U;81;;3;3,60811E+14;407.047.282;3003;0;36;3003;2,10701E+14;BK;407.047.282;S;Block 3003;328761;58900;-739.039.479;3;11934;0;-739.039.479;G5040;L;U;81;3,60811E+14;36;81;58900;3003;
Roy Wilkins Recreation Center;Northwest of fence running from 118th Road to hospital;Yes;;Queens;;407.282.239;-737.948.516;;159;360811247001001;407.287.448;1001;0;36;1001;2,10701E+14;BK;407.287.448;S;Block 1001;1338976;124700;-737.954.164;1;14425;50;-737.954.164;G5040;L;U;81;;159;3,60811E+14;407.287.448;1001;0;36;1001;2,10701E+14;BK;407.287.448;S;Block 1001;1338976;124700;-737.954.164;1;14425;50;-737.954.164;G5040;L;U;81;3,60811E+14;36;81;124700;1001;
Roy Wilkins Recreation Center;Southeast of fence running from 118th Road to hospital;Yes;;Queens;;407.282.239;-737.948.516;;159;360811247001001;407.287.448;1001;0;36;1001;2,10701E+14;BK;407.287.448;S;Block 1001;1338976;124700;-737.954.164;1;14425;50;-737.954.164;G5040;L;U;81;;159;3,60811E+14;407.287.448;1001;0;36;1001;2,10701E+14;BK;407.287.448;S;Block 1001;1338976;124700;-737.954.164;1;14425;50;-737.954.164;G5040;L;U;81;3,60811E+14;36;81;124700;1001;
Rudd Playground;Aberdeen Street & Bushwick Avenue;Yes;;Brooklyn;;406.823.741;-739.056.353;;314;360470405001002;406.814.485;1002;0;36;1002;2,10701E+14;BK;406.814.485;S;Block 1002;6600870;40500;-739.059.520;1;15854;118;-739.059.520;G5040;L;U;47;;314;3,6047E+14;406.814.485;1002;0;36;1002;2,10701E+14;BK;406.814.485;S;Block 1002;6600870;40500;-739.059.520;1;15854;118;-739.059.520;G5040;L;U;47;3,6047E+14;36;47;40500;1002;
Rufus King Park;Jamaica Avenue, 153 Street, 89 Avenue, 150 Street;Yes;;Queens;;407.026.962;-738.027.944;;49;360810240002001;407.036.809;2001;0;36;2001;2,10701E+14;BK;407.036.809;S;Block 2001;579299;24000;-738.039.939;2;56114;4;-738.039.939;G5040;L;U;81;;49;3,6081E+14;407.036.809;2001;0;36;2001;2,10701E+14;BK;407.036.809;S;Block 2001;579299;24000;-738.039.939;2;56114;4;-738.039.939;G5040;L;U;81;3,6081E+14;36;81;24000;2001;
Russell Pederson Playground;Colonial Road, 83 to 85 streets;Yes;;Brooklyn;;40.613.339;-74.011.086;;260;360470150002003;406.137.025;2003;0;36;2003;2,10701E+14;BK;406.137.025;S;Block 2003;5844148;15000;-740.125.048;2;20435;105;-740.125.048;G5040;L;U;47;;260;3,6047E+14;406.137.025;2003;0;36;2003;2,10701E+14;BK;406.137.025;S;Block 2003;5844148;15000;-740.125.048;2;20435;105;-740.125.048;G5040;L;U;47;3,6047E+14;36;47;15000;2003;
Russell Sage Playground (JHS 190);68 Avenue, Booth to Austin streets;Yes;;Queens;;407.205.676;-738.458.992;;25;360810711002000;407.212.214;2000;0;36;2000;2,10701E+14;BK;407.212.214;S;Block 2000;1341542;71100;-738.484.441;2;35763;1;-738.484.441;G5040;L;U;81;;25;3,60811E+14;407.212.214;2000;0;36;2000;2,10701E+14;BK;407.212.214;S;Block 2000;1341542;71100;-738.484.441;2;35763;1;-738.484.441;G5040;L;U;81;3,60811E+14;36;81;71100;2000;
Sara D. Roosevelt Park;East Houston Street to Canal Street;Yes;Yes;Manhattan;;407.194.006;-740.018.946;;131;360610033004000;407.198.462;4000;0;36;4000;2,10701E+14;BK;407.198.462;S;Block 4000;3135789;3300;-740.029.521;4;9087;65;-740.029.521;G5040;L;U;61;;131;3,6061E+14;407.198.462;4000;0;36;4000;2,10701E+14;BK;407.198.462;S;Block 4000;3135789;3300;-740.029.521;4;9087;65;-740.029.521;G5040;L;U;61;3,6061E+14;36;61;3300;4000;
Saratoga Square Park;Howard Avenue, Halsey, Macon streets;Yes;;Brooklyn;;406.851.865;-739.204.706;;165;360470377001001;406.853.981;1001;0;36;1001;2,10701E+14;BK;406.853.981;S;Block 1001;6656292;37700;-739.218.491;1;18660;69;-739.218.491;G5040;L;U;47;;165;3,6047E+14;406.853.981;1001;0;36;1001;2,10701E+14;BK;406.853.981;S;Block 1001;6656292;37700;-739.218.491;1;18660;69;-739.218.491;G5040;L;U;47;3,6047E+14;36;47;37700;1001;
Schmul Park;Wild Avenue, Pearson Street;Yes;;Staten Island;;405.906.696;-7.418.846.479.999.990;;80;360850291022004;405.911.806;2004;0;36;2004;2,10701E+14;BK;405.911.806;S;Block 2004;3496844;29102;-741.895.119;2;17189;32;-741.895.119;G5040;L;U;85;;80;3,6085E+14;405.911.806;2004;0;36;2004;2,10701E+14;BK;405.911.806;S;Block 2004;3496844;29102;-741.895.119;2;17189;32;-741.895.119;G5040;L;U;85;3,6085E+14;36;85;29102;2004;
Seaside Playground (PS 225);Rockaway Beach Boulevard, B109-B110 streets;Yes;;Queens;;405.831.389;-738.226.563;;1190;360810938002001;405.825.238;2001;0;36;2001;2,10701E+14;BK;405.825.238;S;Block 2001;384321;93800;-738.240.124;2;61929;673;-738.240.124;G5040;L;U;81;;1190;3,60811E+14;405.825.238;2001;0;36;2001;2,10701E+14;BK;405.825.238;S;Block 2001;384321;93800;-738.240.124;2;61929;673;-738.240.124;G5040;L;U;81;3,60811E+14;36;81;93800;2001;
Seth Low Playground;Avenue P, Bay Parkway, West 12 Street;Yes;;Brooklyn;;406.096.878;-739.857.633;;411;360470266001001;406.102.819;1001;0;36;1001;2,10701E+14;BK;406.102.819;S;Block 1001;4615174;26600;-739.869.536;1;19034;137;-739.869.536;G5040;L;U;47;;411;3,6047E+14;406.102.819;1001;0;36;1001;2,10701E+14;BK;406.102.819;S;Block 1001;4615174;26600;-739.869.536;1;19034;137;-739.869.536;G5040;L;U;47;3,6047E+14;36;47;26600;1001;
Seton Park;West 135 Street, Independence Avenue, West 232 Street;Yes;;Bronx;;408.849.074;-739.162.576;;64;360050301002000;408.847.985;2000;0;36;2000;2,10701E+14;BK;408.847.985;S;Block 2000;4165419;30100;-739.176.668;2;24521;14;-739.176.668;G5040;L;U;5;;64;3,6005E+14;408.847.985;2000;0;36;2000;2,10701E+14;BK;408.847.985;S;Block 2000;4165419;30100;-739.176.668;2;24521;14;-739.176.668;G5040;L;U;5;3,6005E+14;36;5;30100;2000;
Seton Park Playground;West 235 Street & Douglas Avenue;No;;Bronx;;408.869.086;-739.165.713;;0;360050309004002;408.869.700;4002;0;36;4002;2,10701E+14;BK;408.869.700;S;Block 4002;3309663;30900;-739.151.170;4;21201;0;-739.151.170;G5040;L;U;5;;0;3,6005E+14;408.869.700;4002;0;36;4002;2,10701E+14;BK;408.869.700;S;Block 4002;3309663;30900;-739.151.170;4;21201;0;-739.151.170;G5040;L;U;5;3,6005E+14;36;5;30900;4002;
Sheltering Arms Park;West 129 Street, Amsterdam Avenue;Yes;;Manhattan;;408.151.174;-739.549.926;;234;360610213032000;408.150.431;2000;0;36;2000;2,10701E+14;BK;408.150.431;S;Block 2000;3713929;21303;-739.539.045;2;13365;129;-739.539.045;G5040;L;U;61;;234;3,6061E+14;408.150.431;2000;0;36;2000;2,10701E+14;BK;408.150.431;S;Block 2000;3713929;21303;-739.539.045;2;13365;129;-739.539.045;G5040;L;U;61;3,6061E+14;36;61;21303;2000;
Sheltering Arms Park (Pool);West 129 Street, Amsterdam Avenue;No;;Manhattan;;408.151.174;-739.549.926;;234;360610213032000;408.150.431;2000;0;36;2000;2,10701E+14;BK;408.150.431;S;Block 2000;3713929;21303;-739.539.045;2;13365;129;-739.539.045;G5040;L;U;61;;234;3,6061E+14;408.150.431;2000;0;36;2000;2,10701E+14;BK;408.150.431;S;Block 2000;3713929;21303;-739.539.045;2;13365;129;-739.539.045;G5040;L;U;61;3,6061E+14;36;61;21303;2000;
Shore Road Park;Owl's Head Park to Fort Hamilton Parkway Narrows Avenue;Yes;;Brooklyn;;406.401.377;-740.322.522;;0;360470034001005;406.400.988;1005;0;36;1005;2,10701E+14;BK;406.400.988;S;Block 1005;4613840;3400;-740.322.748;1;113667;0;-740.322.748;G5040;L;U;47;;0;3,6047E+14;406.400.988;1005;0;36;1005;2,10701E+14;BK;406.400.988;S;Block 1005;4613840;3400;-740.322.748;1;113667;0;-740.322.748;G5040;L;U;47;3,6047E+14;36;47;3400;1005;
Shore Road Park;72nd Street to Harbor View;Yes;;Brooklyn;;405.848.299;-739.307.439;;82;360470622001010;405.848.579;1010;0;36;1010;2,10701E+14;BK;405.848.579;S;Block 1010;5847145;62200;-739.307.034;1;7684;117;-739.307.034;G5040;L;U;47;;82;3,60471E+14;405.848.579;1010;0;36;1010;2,10701E+14;BK;405.848.579;S;Block 1010;5847145;62200;-739.307.034;1;7684;117;-739.307.034;G5040;L;U;47;3,60471E+14;36;47;62200;1010;
Shore Road Park;92nd Street to 4 Avenue - lower half, by expressway;Yes;;Brooklyn;;406.781.784;-739.441.579;;0;360470313004000;406.782.744;4000;0;36;4000;2,10701E+14;BK;406.782.744;S;Block 4000;4610831;31300;-739.455.015;4;2013;0;-739.455.015;G5040;L;U;47;;0;3,6047E+14;406.782.744;4000;0;36;4000;2,10701E+14;BK;406.782.744;S;Block 4000;4610831;31300;-739.455.015;4;2013;0;-739.455.015;G5040;L;U;47;3,6047E+14;36;47;31300;4000;
Shore Road Park;92nd Street to 4 Avenue - upper half, by road;No;;Brooklyn;;406.497.863;-740.090.187;;699;360470080001001;406.488.671;1001;0;36;1001;2,10701E+14;BK;406.488.671;S;Block 1001;4138787;8000;-740.082.444;1;19318;239;-740.082.444;G5040;L;U;47;;699;3,6047E+14;406.488.671;1001;0;36;1001;2,10701E+14;BK;406.488.671;S;Block 1001;4138787;8000;-740.082.444;1;19318;239;-740.082.444;G5040;L;U;47;3,6047E+14;36;47;8000;1001;
Silver Lake Park;Victory Boulevard, Clove Road, Forest Avenue;Yes;;Staten Island;;406.164.058;-741.035.902;;622;360850147002000;406.187.788;2000;2000;36;2000;2,10701E+14;BK;406.187.861;S;Block 2000;7265577;14700;-741.123.353;2;810760;375;-741.123.456;G5040;B;U;85;;622;3,6085E+14;406.187.788;2000;2000;36;2000;2,10701E+14;BK;406.187.861;S;Block 2000;7265577;14700;-741.123.353;2;810760;375;-741.123.456;G5040;B;U;85;3,6085E+14;36;85;14700;2000;
Slattery Playground;East 183 Street, Ryer Avenue, Valentine Avenue;Yes;;Bronx;;408.571.315;-738.990.893;;403;360050383013004;408.578.522;3004;0;36;3004;2,10701E+14;BK;408.578.522;S;Block 3004;1476275;38301;-738.991.117;3;8714;136;-738.991.117;G5040;L;U;5;;403;3,6005E+14;408.578.522;3004;0;36;3004;2,10701E+14;BK;408.578.522;S;Block 3004;1476275;38301;-738.991.117;3;8714;136;-738.991.117;G5040;L;U;5;3,6005E+14;36;5;38301;3004;
Slope Park;6 Avenue Bet 18 & 19 Sts;Yes;;Brooklyn;;406.666.733;-739.994.322;;0;360470018011003;406.650.393;1003;234;36;1003;2,10701E+14;BK;406.650.413;S;Block 1003;5612533;1801;-740.002.968;1;355732;2;-740.002.945;G5040;B;U;47;;0;3,6047E+14;406.650.393;1003;234;36;1003;2,10701E+14;BK;406.650.413;S;Block 1003;5612533;1801;-740.002.968;1;355732;2;-740.002.945;G5040;B;U;47;3,6047E+14;36;47;1801;1003;
Smokey Oval;125 Street & Atlantic Avenue;Yes;;Queens;;406.953.688;-738.228.781;;0;360810142022009;406.954.187;2009;0;36;2009;2,10701E+14;BK;406.958.020;S;Block 2009;385893;14202;-738.221.856;2;7525;0;-738.197.495;G5040;L;U;81;;0;3,6081E+14;406.954.187;2009;0;36;2009;2,10701E+14;BK;406.958.020;S;Block 2009;385893;14202;-738.221.856;2;7525;0;-738.197.495;G5040;L;U;81;3,6081E+14;36;81;14202;2009;
Sol Bloom Playground;Columbus Avenue, West 91 to West 92 streets, Central Park West;Yes;;Manhattan;;407.891.299;-739.665.898;;1380;360610177008000;407.900.173;8000;0;36;8000;2,10701E+14;BK;407.900.173;S;Block 8000;4647167;17700;-739.677.439;8;21860;715;-739.677.439;G5040;L;U;61;;1380;3,6061E+14;407.900.173;8000;0;36;8000;2,10701E+14;BK;407.900.173;S;Block 8000;4647167;17700;-739.677.439;8;21860;715;-739.677.439;G5040;L;U;61;3,6061E+14;36;61;17700;8000;
Sol Lain Playground;Broadway, Henry Street, Samuel Dickstein Place;No;;Manhattan;;407.138.054;-739.850.366;;96;360610002021002;407.142.721;1002;0;36;1002;2,10701E+14;BK;407.142.721;S;Block 1002;2841200;202;-739.833.143;1;19126;32;-739.833.143;G5040;L;U;61;;96;3,6061E+14;407.142.721;1002;0;36;1002;2,10701E+14;BK;407.142.721;S;Block 1002;2841200;202;-739.833.143;1;19126;32;-739.833.143;G5040;L;U;61;3,6061E+14;36;61;202;1002;
Soundview Park Playground;Metcalf Avenue between Seward and Randall avenues;No;;Bronx;;408.162.798;-738.682.385;;0;360050020011003;408.165.445;1003;0;36;1003;2,10701E+14;BK;408.165.445;S;Block 1003;2135345;2001;-738.676.800;1;13828;0;-738.676.800;G5040;L;U;5;;0;3,6005E+14;408.165.445;1003;0;36;1003;2,10701E+14;BK;408.165.445;S;Block 1003;2135345;2001;-738.676.800;1;13828;0;-738.676.800;G5040;L;U;5;3,6005E+14;36;5;2001;1003;
South Beach;Natural Area and Boardwalk from Sands Lane to Vulcan Street, East of Father Capodanno Boulevard;Yes;;Staten Island;This facility is currently closed;405.901.264;-74.077.152;;55;360850070022015;405.902.745;2015;0;36;2015;2,10701E+14;BK;405.902.745;S;Block 2015;6327225;7002;-740.763.584;2;10131;23;-740.763.584;G5040;L;U;85;;55;3,6085E+14;405.902.745;2015;0;36;2015;2,10701E+14;BK;405.902.745;S;Block 2015;6327225;7002;-740.763.584;2;10131;23;-740.763.584;G5040;L;U;85;3,6085E+14;36;85;7002;2015;
South Beach (Saturn Playground);Natural Area and Boardwalk from Sands Lane to Vulcan Street, East of Father Capodanno Boulevard;Yes;Yes;Staten Island;This facility is currently closed;405.901.264;-74.077.152;;55;360850070022015;405.902.745;2015;0;36;2015;2,10701E+14;BK;405.902.745;S;Block 2015;6327225;7002;-740.763.584;2;10131;23;-740.763.584;G5040;L;U;85;;55;3,6085E+14;405.902.745;2015;0;36;2015;2,10701E+14;BK;405.902.745;S;Block 2015;6327225;7002;-740.763.584;2;10131;23;-740.763.584;G5040;L;U;85;3,6085E+14;36;85;7002;2015;
South Beach Wetlands;Quintard St Bet. Quincy Ave & Father Capodanno Blvd;;Yes;Staten Island;;405.811.558;-740.757.754;;0;360850070024002;405.818.197;4002;0;36;4002;2,10701E+14;BK;405.818.197;S;Block 4002;6489403;7002;-740.737.358;4;155031;0;-740.737.358;G5040;L;U;85;;0;3,6085E+14;405.818.197;4002;0;36;4002;2,10701E+14;BK;405.818.197;S;Block 4002;6489403;7002;-740.737.358;4;155031;0;-740.737.358;G5040;L;U;85;3,6085E+14;36;85;7002;4002;
Space Time Playground;Streetory Avenue, Bolton Avenue, Lafayette Avenue, Underhill Avenue;No;;Bronx;;408.218.107;-7.386.021.219.999.990;;426;360050042005004;408.227.919;5004;0;36;5004;2,10701E+14;BK;408.227.919;S;Block 5004;1767652;4200;-738.609.081;5;19547;196;-738.609.081;G5040;L;U;5;;426;3,6005E+14;408.227.919;5004;0;36;5004;2,10701E+14;BK;408.227.919;S;Block 5004;1767652;4200;-738.609.081;5;19547;196;-738.609.081;G5040;L;U;5;3,6005E+14;36;5;4200;5004;
Sperandeo Brothers Playground;Atlantic Avenue & Elton Street;Yes;;Brooklyn;;406.779.449;-73.884.474;;0;360471170002000;406.771.310;2000;0;36;2000;2,10701E+14;BK;406.771.310;S;Block 2000;4711365;117000;-738.842.487;2;27856;0;-738.842.487;G5040;L;U;47;;0;3,60471E+14;406.771.310;2000;0;36;2000;2,10701E+14;BK;406.771.310;S;Block 2000;4711365;117000;-738.842.487;2;27856;0;-738.842.487;G5040;L;U;47;3,60471E+14;36;47;117000;2000;
Springfield Park;149 Avenue, Springfield Boulevard, 145 Road, 148 Street;Yes;;Queens;;406.637.143;-737.591.934;;0;360810320001016;406.645.757;1016;0;36;1016;2,10701E+14;BK;406.645.757;S;Block 1016;386710;32000;-737.587.503;1;5298;0;-737.587.503;G5040;L;U;81;;0;3,6081E+14;406.645.757;1016;0;36;1016;2,10701E+14;BK;406.645.757;S;Block 1016;386710;32000;-737.587.503;1;5298;0;-737.587.503;G5040;L;U;81;3,6081E+14;36;81;32000;1016;
St Nicholas Park South;West 129 & 7 Avenue;Yes;;Manhattan;;408.114.908;-7.394.639.289.999.990;;797;360610224001000;408.112.198;1000;0;36;1000;2,10701E+14;BK;408.112.198;S;Block 1000;3265083;22400;-739.448.204;1;21479;362;-739.448.204;G5040;L;U;61;;797;3,6061E+14;408.112.198;1000;0;36;1000;2,10701E+14;BK;408.112.198;S;Block 1000;3265083;22400;-739.448.204;1;21479;362;-739.448.204;G5040;L;U;61;3,6061E+14;36;61;22400;1000;
St. Albans Park (174 Street Playground);174 Street & 113 Avenue;Yes;;Queens;;406.976.215;-737.647.904;;25;360810400002010;406.978.148;2010;0;36;2010;2,10701E+14;BK;406.978.148;S;Block 2010;384491;40000;-737.651.709;2;7184;7;-737.651.709;G5040;L;U;81;;25;3,6081E+14;406.978.148;2010;0;36;2010;2,10701E+14;BK;406.978.148;S;Block 2010;384491;40000;-737.651.709;2;7184;7;-737.651.709;G5040;L;U;81;3,6081E+14;36;81;40000;2010;
St. Andrew's Playground;Atlantic Avenue & Herkimer Street;Yes;;Brooklyn;;40.675.554;-739.030.576;;0;360471144001011;406.746.002;1011;0;36;1011;2,10701E+14;BK;406.746.002;S;Block 1011;5615867;114400;-739.027.807;1;18855;0;-739.027.807;G5040;L;U;47;;0;3,60471E+14;406.746.002;1011;0;36;1011;2,10701E+14;BK;406.746.002;S;Block 1011;5615867;114400;-739.027.807;1;18855;0;-739.027.807;G5040;L;U;47;3,60471E+14;36;47;114400;1011;
St. Catherine's Park;East 67-68 streets, 1 Avenue;Yes;;Manhattan;;407.688.809;-739.659.764;;41;360610122001002;407.691.239;1002;0;36;1002;2,10701E+14;BK;407.691.239;S;Block 1002;3353852;12200;-739.662.925;1;8972;31;-739.662.925;G5040;L;U;61;;41;3,6061E+14;407.691.239;1002;0;36;1002;2,10701E+14;BK;407.691.239;S;Block 1002;3353852;12200;-739.662.925;1;8972;31;-739.662.925;G5040;L;U;61;3,6061E+14;36;61;12200;1002;
